Nomor,Pernyataan,Kunci_Jawaban_TNI_POLRI,Kategori_Alasan_Psikologis
230,Aku hampir tidak pernah memperhatikan jantungku berdebar dan aku jarang sesak napas.,YA,Pernyataan adaptif / positif kepribadian sehat
231,Aku suka mebicarakan seks.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
232,Aku terpanggil untuk mengisi hidupku dengan tugas yang mulia yang selama ini telah kulaksanakan dengan seksama.,YA,Pernyataan adaptif / positif kepribadian sehat
233,"Kadang-kadang aku menghalangi orang yang mencoba berbuat sesuatu, bukan karena besar kecilnya persoalan akan tetapi karena prinsip.",TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
234,Aku mudah naik darah (marah) dan cepat reda kembali.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
235,Aku cukup bebas dan tidak terikat pada peraturan-peraturan keluarga.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
236,Aku sering sekali murung dan merenung.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
237,Semua sanak keluargaku bersimpati kepadaku.,YA,Pernyataan adaptif / positif kepribadian sehat
238,"Pada saat-saat tertentu aku merasa gelisah sekali, sehingga tidak dapat duduk tenang.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
239,Aku telah dikecewakan dalam cinta.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
240,Aku tidak memperdulikan penampilanku (cara berpakaian dan berhias).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
241,Aku sering bermimpi tentang hal-hal yang paling baik kurahasiakan sendiri.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
242,Menurut hematku aku tidak lebih gugup daripada orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
243,Aku jarang atau tidak pernah pegal-pegal.,YA,Pernyataan adaptif / positif kepribadian sehat
244,Caraku melakukan sesuatu biasanya disalah tafsirkan oleh orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
245,Orang tua dan keluargaku sering menyalahkan aku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
246,Leherku sering bercak merah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
247,Aku ada alasan untuk merasa iri hati terhadap satu atau beberapa anggota keluarga.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
248,"Kadang-kadang tanpa alasan atau meskipun segala sesuatu tidak memuaskan, toh merasa sangat gembira.",TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
249,Aku percaya adanya setan dan neraka setelah kehidupan ini.,YA,Pernyataan adaptif / positif kepribadian sehat
250,Aku dapat membenarkan orang yang mencoba meraih apa saja sebanyak-banyaknya didunia ini.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
251,"Pernah aku mengalami pikiranku mendadak menjadi kosong, serta kegiatanku terhenti dan aku tidak tahu lagi apa yang terjadi disekitarku.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
252,Tidak seorangpun yang banyak memperdulikan apa yang akan terjadi padaku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
253,Aku dapat bersikap ramah terhadap orang yang melakukan hal-hal yang menurut hematku salah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
254,Aku suka bergaul dengan orang-orang yang suka bercanda.,YA,Pernyataan adaptif / positif kepribadian sehat
255,Aku kadang-kadang memilih orang-orang yang tidak kukenal dalam suatu pemilihan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
256,Satu-satunya bagian yang menarik dari surat kabar adalah ruang iseng.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
257,Biasanya aku menghendaki usahaku akan berhasil.,YA,Pernyataan adaptif / positif kepribadian sehat
258,Aku percaya adanya Tuhan.,YA,Pernyataan adaptif / positif kepribadian sehat
259,Aku merasa berat untuk memulai suatu pekerjaan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
260,Dulu aku sukar menangkap pelajaran.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
261,Andaikan aku pelukis aku akan senang melukis bunga.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
262,Aku tidak peduli akan diriku yang kurang tampan.,YA,Pernyataan adaptif / positif kepribadian sehat
263,Aku mudah sekali berkeringat walaupun udara dingin.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
264,Aku sangat yakin akan diriku sendiri.,YA,Pernyataan adaptif / positif kepribadian sehat
265,Lebih aman untuk tidak mempercayai seorangpun.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
266,"Sekali seminggu atau lebih, sering menjadi aku sangat tegang dan emosional.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
267,"Apabila dalam satu kelompok, aku mengalami kesukaran bahan pembicaraan.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
268,Sesuatu yang menggairahkan hampir selalu akan menghilangkan kesedihan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
269,"Aku dengan mudah dapat membuat orang takut padaku, dan kadang-kadang ini kulakukan untuk iseng.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
270,"Jika aku pergi, aku tidak merisaukan apakah pintu jendela sudah terkunci atau belum.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
271,Aku tidak pernah mempersalahkan orang yang akan mengambil keuntungan dari seseorang yang lemah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
272,Kadang-kadang aku penuh semangat.,TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
273,Kulitku terasa kebal pada beberapa bagian.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
274,Penglihatanku sekarang sama baiknya dengan penglihatanku pada tahun yang lalu.,YA,Pernyataan adaptif / positif kepribadian sehat
275,Ada seorang yang menguasai pikiranku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
276,Aku menyenangi kanak-kanak.,YA,Pernyataan adaptif / positif kepribadian sehat
277,"Ada kalanya aku begitu kagum akan kelihaian seorang bajingan, sehingga aku mengharap dia dapat lolos.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
278,Aku sering merasa orang-orang yang tidak kukenal memperhatikan aku secara teliti.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
279,Setiap hari aku minum air dalam jumlah yang luar biasa banyaknya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
280,"Kebanyakan orang mencari kawan, karena diharapkan berguna bagi dirinya.",YA,Pernyataan adaptif / positif kepribadian sehat
281,Aku jarang memperhatikan suatu mendengung dalam telingaku.,YA,Pernyataan adaptif / positif kepribadian sehat
282,Sekali waktu aku merasa benci terhadap anggota keluargaku yang biasa kusayangi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
283,Seandainya aku wartawan aku ingin sekali menulis berita olah raga.,YA,Pernyataan adaptif / positif kepribadian sehat
284,Aku yakin bahwa aku dipergunjingkan orang (digosipkan orang).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
285,Sekali-kali aku tertawa juga mendengar lelucon porno.,YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
286,Aku tidak pernah merasa bahagia daripada bila seorang diri.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
287,"Dibandingkan dengan lawan-lawanku, aku sedikit sekali mempunyai rasa takut.",YA,Pernyataan adaptif / positif kepribadian sehat
288,Aku terganggu oleh serangan rasa mual dan muntah-muntah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
289,"Aku selalu merasa muak terhadap hukum, bila seorang penjahat dibebaskan oleh karena kepandaian dari seorang pembela.",YA,Pernyataan adaptif / positif kepribadian sehat
290,Aku bekerja dalam ketegangan yang sangat besar.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
291,Aku pernah beberapa kali merasa bahwa seseorang memaksaku melakukan sesuatu dengan sihir.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
292,"Aku cenderung untuk tidak menyapa orang lain, sebelum mereka menyapaku terlebih dahulu.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
293,Ada seseorang yang mencoba mempengaruhi pikiranku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
294,Aku belum pernah mengalami kesulitan dengan hukum.,YA,Pernyataan adaptif / positif kepribadian sehat
295,Aku suka dongeng yang aneh dan bermanfaat.,YA,Pernyataan adaptif / positif kepribadian sehat
296,Pada waktu-waktu tertentu aku merasa gembira sekali tanpa alasan khusus.,TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
297,Aku ingin tidak terganggu pikiran tentang seks.,YA,Pernyataan adaptif / positif kepribadian sehat
298,"Bila beberapa orang bersama-sama dalam keadaan terjepit, sikap yang baik bagi mereka adalah bersepakat dan bertahan pada suatu alasan tertentu.",YA,Pernyataan adaptif / positif kepribadian sehat
299,Kukira perasaanku lebih mendalam daripada orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
300,Selama hidupku ini aku tidak pernah senang bermain-main dengan boneka.,YA,Pernyataan adaptif / positif kepribadian sehat
301,Pada umumnya hidupku ini kurasakan berat.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
302,Aku belum pernah mengalami kesulitan karena kelakuan seks ku.,YA,Pernyataan adaptif / positif kepribadian sehat
303,"Aku sangat peka terhadap beberapa persoalan, sehingga aku tidak membicarakannya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
304,Aku merasa sukar untuk bicara didepan kelas waktu sekolah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
305,"Walaupun bersama-sama dengan orang banyak, aku sering merasa kesepian.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
306,Aku mendapat pengertian (simpati) yang semestinya.,YA,Pernyataan adaptif / positif kepribadian sehat
307,Aku menolak ikut serta dalam beberapa permainan karena aku kurang pandai.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
308,Aku pernah ingin sekali lari dari rumah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
309,Aku merasa dapat berkawan semudah orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
310,Kehidupan seksku cukup memuaskan.,YA,Pernyataan adaptif / positif kepribadian sehat
311,Dalam suatu masa tertentu waktu masih muda aku pernah melakukan pencurian kecil-kecilan.,TIDAK,Integritas moral dan ketaatan hukum tanpa rekam jejak kriminal
312,Aku tidak suka ada orang disekitarku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
313,"Orang yang memberikan peluang mencuri dengan meninggalkan barang begitu saja, sama salahnya dengan orang yang mencurinya.",YA,Pernyataan adaptif / positif kepribadian sehat
314,Sekali-kali aku berpikir tentang hal yang buruk untuk diutarakan.,YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
315,Aku merasa bahwa hidup ini tidak adil.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
316,Hampir setiap orang akan berbohong untuk menghindarkan kesulitan.,YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
317,Aku lebih perasa daripada kebanyakan orang.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
318,Kehidupanku sehari-hari selalu terisi dengan hal-hal yang menyenangkan dan menarik.,YA,Pernyataan adaptif / positif kepribadian sehat
319,Kebanyakan orang dalam hati kecilnya tidak begitu suka mengulurkan tangan untuk menolong orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
320,Kebanyakan mimpiku adalah tentang seks.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
321,Aku mudah sekali menjadi canggung (kikuk).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
322,Aku merisaukan soal uang dan pekerjaan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
323,Aku pernah mengalami hal yang aneh dan tidak masuk akal.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
324,Aku belum pernah jatuh cinta pada siapapun juga.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
325,Beberapa hal yang pernah dilakukan oleh anggota keluargaku menakutkan aku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
326,Pada waktu-waktu tertentu aku tertawa dan menangis tanpa dapat kukuasai.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
327,"Orang tuaku sering membuat aku menuruti kehendaknya, walaupun pada hematnya hal itu tidak masuk akal.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
328,Aku merasa sukar memusatkan perhatian pada suatu pekerjaan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
329,Aku hampir tidak pernah bermimpi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
330,Aku tidak pernah lumpuh atau mengalami kelemahan otot yang berat.,YA,Pernyataan adaptif / positif kepribadian sehat
331,"Seandainya orang-orang tidak menghalangi, aku dapat lebih berhasil.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
332,"Kadang-kadang suaraku menghilang atau berubah, walapun aku tidak sakit leher (flu).",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
333,Aku merasa tak seorangpun yang mengerti akan diriku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
334,Adakalanya tercium olehku bau yang aneh.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
335,Aku tidak bisa memusatkan perhatian pada satu hal saja.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
336,Aku mudah menjadi kurang sabar terhadap orang-orang.,YA,Sikap realistis dan rendah hati prajurit (menjaga Skala K seimbang)
337,Aku hampir selalu merasa cemas tentang sesuatu hal atau seseorang.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
338,Sesungguhnya lebih banyak persoalan yang kurisaukan dari pada yang sesungguhnya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
339,Sering aku ingin mengalami mati.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
340,Kadang-kadang aku begitu tegang sehingga sukar tidur.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
341,"Kadang-kadang pendengaranku sedemikian tajamnya, sehingga aku merasa terganggu.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
342,Aku cepat lupa tentang apa saja yang dikatakan orang padaku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
343,"Biasanya aku harus berpikir-pikir dulu sebelum melakukan sesuatu, walaupun mengenai hal yang sepele (kecil dan tidak berarti).",YA,Pernyataan adaptif / positif kepribadian sehat
344,Sering aku menghindar bertemu seseorang dengan mengubah arah langkahku.,YA,Pernyataan adaptif / positif kepribadian sehat
345,Aku sering merasa seakan-akan semuanya semu (tidak sesungguhnya seperti impian belaka).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
346,Aku mempunyai kebiasaan menghitung benda-benda yang tidak perlu seperti tiang listrik dan lain-lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
347,Aku tidak mempunyai musuh yang benar-benar bermaksud mencelakakan aku.,YA,Pernyataan adaptif / positif kepribadian sehat
348,Aku cenderung untuk waspada terhadap orang yang berlebihan ramahnya.,YA,Pernyataan adaptif / positif kepribadian sehat
349,Aku merasa pikiranku aneh dan asing.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
350,"Bila aku seorang diri, aku mendengar suara yang aneh.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
351,Aku menjadi cemas dan gelisah bila aku harus berpergian.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
352,Aku takut akan benda dan orang yang kuketahui tak akan dapat membahayakan diriku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
353,Aku tidak takut masuk sendirian kedalam suatu ruangan yang didalamnya berkumpul orang-orang yang sedang berbicara.,YA,Pernyataan adaptif / positif kepribadian sehat
354,Aku takut menggunakan pisau benda tajam atau runcing.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
355,Kadang-kadang aku senang menyakiti orang yang kusayangi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
356,Aku merasa lebih sukar memusatkan perhatian daripada orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
357,Aku telah beberapa kali meninggalkan suatu pekerjaan karena merasa kurang mampu.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
358,Kata-kata busuk dan sering-sering mengerikan timbul dalam pikiranku dan aku tidak dapat menghilangkannya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
359,Kadang-kadang pikiran-pikiran yang tidak penting memenuhi benak dan mengganggu selama beberapa hari.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
360,Hampir setiap hari ada saja kejadian yang menakutkan aku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
361,Aku cenderung menganggap segala sesuatu secara sungguh-sungguh (serius).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
362,Aku lebih perasa daripada kebanyakan orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
363,Adakalanya senang disakiti orang yang kucintai.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
364,Orang-orang mengatakan hal-hal yang menghina dan kasar tentang diriku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
365,Aku merasa gelisah dalam rumah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
366,"Walaupun bersama-sama dengan orang banyak, aku sering merasa kesepian.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
367,Aku tidak takut api.,YA,Pernyataan adaptif / positif kepribadian sehat
368,"Aku kadang-kadang menjahui orang lain, karena aku takut melakukan atau mengucapkan sesuatu yang mungkin kemudian kusesalkan.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
369,Aku bagiku tidak jadi soal.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
370,Aku tak suka bekerja terburu-buru.,YA,Pernyataan adaptif / positif kepribadian sehat
371,Aku menghargai diriku secara wajar (tidak berlebihan).,YA,Pernyataan adaptif / positif kepribadian sehat
372,Aku lebih suka mempunyai bermacam-macam hobby daripada yang itu-itu saja.,YA,Pernyataan adaptif / positif kepribadian sehat
373,Aku merasa yakin bahwa hanya ada satu agama yang benar.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
374,Pada waktu-waktu tertentu pikiranku bekerja lebih lamban daripada biasanya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
375,"Bila aku merasa gembira dan segar, seorang yang murung atau sedih akan merusak seluruh suasana perasaanku.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
376,Polisi biasanya jujur.,YA,Pernyataan adaptif / positif kepribadian sehat
377,"Dalam pesta aku suka duduk sendirian atau hanya dengan seorang lain, daripada menggabungkan diri bersama-sama dengan kelompok.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
378,Aku tidak suka melihat wanita merokok.,YA,Pernyataan adaptif / positif kepribadian sehat
379,Aku jarang sekali murung.,YA,Pernyataan adaptif / positif kepribadian sehat
380,"Bila seseorang mengatakan hal-hal yang bodoh dan ngawur tentang sesuatu yang kuketahui benar, maka aku mencoba membetulkannya.",YA,Pernyataan adaptif / positif kepribadian sehat
381,Orang-orang sering mengatakan bahwa aku pemarah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
382,Semoga aku dapat menghilangkan kerisauan akan ucapan-ucapanku yang mungkin telah menyakiti perasaan orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
383,Orang-orang sering mengecewakan aku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
384,Aku merasa tidak sanggup menceritakan seluruhnya tentang diriku kepada orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
385,Aku tidak takut pada kilat.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
386,Aku suka membuat orang bertanya-tanya tentang apa yang akan kukerjakan selanjutnya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
387,"Satu-satunya keajaiban yang aku ketahui, hanya tipu muslihat yang memperdayakan orang.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
388,Aku takut sendirian dalam gelap.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
389,"Acapkali rencana-rencanaku seakan-akan penuh dengan kesukaran, sehingga aku harus membatalkannya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
390,"Aku sering merasa sedih bila disalah artikan, walaupun aku ingin mencegah seseorang membuat kesalahan.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
391,Aku senang pergi ke pesta.,YA,Pernyataan adaptif / positif kepribadian sehat
392,Aku takut angin ribut (angin ribut menakutkan aku).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
393,Kuda yang tidak mau menarik beban harus dicambuk dan ditendang.,YA,Pernyataan adaptif / positif kepribadian sehat
394,Aku sering meminta nasehat pada orang-orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
395,Masa depanku berlalu tidak menentu bagi seseorang untuk membuat rencana sungguh-sungguh.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
396,Walaupun semuanya berjalan dengan baik aku sering merasa masa bodoh.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
397,"Kadang-kadang aku merasa bahwa kesulitan-kesulitan begitu bertumpuk, sehingga aku tidak mampu mengatasinya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
398,Aku sering berangan-angan menjadi anak-anak kembali.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
399,Aku tidak mudah dibuat marah.,YA,Pernyataan adaptif / positif kepribadian sehat
400,"Bila aku diberi kesempatan, aku dapat berbuat sesuatu yang bermanfaat sekali bagi masyarakat.",YA,Pernyataan adaptif / positif kepribadian sehat
401,Aku tidak takut air.,YA,Pernyataan adaptif / positif kepribadian sehat
402,Aku sering berpikir harus berhari-hari untuk memutuskan sesuatu.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
403,Bukan main senangnya untuk hidup dijaman ini dengan begitu banyak kejadian-kejadian.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
404,"Orang-orang sering menyalaartikan tentang itikad baikku, apabila aku berusaha menolong dan membetulkan mereka.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
405,Aku tidak ada gangguan menelan.,YA,Pernyataan adaptif / positif kepribadian sehat
406,"Aku sering menjumpai orang-orang yang dianggap ahli, yang ternyata tidak lebih unggul daripada aku.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
407,Biasanya aku tenang dan tidak mudah gelisah.,YA,Pernyataan adaptif / positif kepribadian sehat
408,"Biasanya aku dapat menyembunyikan perasaanku sedemikian rupa, sehingga orang-orang dapat menyakiti hatiku tanpa mereka sadari.",YA,Sikap realistis dan rendah hati prajurit (menjaga Skala K seimbang)
409,Adakalanya aku melelahkan diri sendiri karena bekerja melampaui batas.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
410,Aku akan merasa gembira sekali bila dapat mengalahkan seseorang penipu dengan cara-cara sendiri.,YA,Pernyataan adaptif / positif kepribadian sehat
411,"Aku merasa seperti orang-orang yang gagal, bila mendengar keberhasilan seseorang yang kukenal.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
412,Aku tidak takut berobat ke dokter untuk suatu penyakit atau luka.,YA,Pernyataan adaptif / positif kepribadian sehat
413,Aku patut dihukum berat untuk dosa-dosaku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
414,"Aku biasanya menganggap kekecewaan begitu serius, sehingga aku tidak dapat melupakannya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
415,"Apabila aku diberi kesempatan, aku bisa menjadi pemimpin yang baik.",YA,Pernyataan adaptif / positif kepribadian sehat
416,"Walaupun aku tahu, bahwa aku dapat menyelesaikan sesuatu pekerjaan dengan baik, namun demikian aku merasa terganggu bila orang memperhatikan aku sewaktu bekerja.",YA,Sikap realistis dan rendah hati prajurit (menjaga Skala K seimbang)
417,"Bila seorang mencoba mendahului aku sewaktu antri, aku sering merasa jengkel sehingga aku perlu menegurnya.",TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
418,Adakalanya aku merasa tak berguna sama sekali.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
419,Aku sering membolos sekolah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
420,Aku sering mengalami mukzizat dalam agama.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
421,Satu atau lebih dari anggota keluargaku sangat gugup.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
422,Aku pernah merasa malu akan pekerjaan yang dilakukan oleh salah satu atau beberapa anggota keluargaku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
423,Aku suka sekali mengail ikan.,YA,Pernyataan adaptif / positif kepribadian sehat
424,Hampir selalu aku merasa lapar.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
425,Aku sering bermimpi.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
426,Adakalanya aku harus bersikap kasar terhadap orang-orang yang tidak sopan dan menjengkelkan.,YA,Pernyataan adaptif / positif kepribadian sehat
427,Aku merasa malu mendengar cerita jorok.,YA,Pernyataan adaptif / positif kepribadian sehat
428,Aku suka membaca tajuk rencana dalam surat kabar.,YA,Pernyataan adaptif / positif kepribadian sehat
429,Aku suka mengikuti kuliah tentang mata pelajaran yang bermutu.,YA,Pernyataan adaptif / positif kepribadian sehat
430,Aku tertarik orang berjenis kelamin lain daripadaku.,YA,Pernyataan adaptif / positif kepribadian sehat
431,Aku banyak risau tentang kemungkinan kemalangan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
432,Aku mempunyai pendirian politik yang kokoh.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
433,Aku mempunyai kawan-kawan yang khayal (aku sering didampingi oleh orang-orang dalam khayalan).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
434,Aku ingin menjadi pembalap mobil.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
435,Aku biasanya lebih suka bekerja denga wanita-wanita.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
436,Pada umumnya orang menuntut penghargaan lebih bagi hak-hak mereka daripada mereka mau menghargai hak-hak orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
437,"Seseorang boleh saja mengingkari hukum, asal saja mereka tidak melanggarnya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
438,"Ada beberapa orang yang kubenci sedemikian rupa, sehingga dalam hati aku senang bila tertangkap.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
439,Aku merasa gelisah bila harus menunggu.,YA,Pernyataan adaptif / positif kepribadian sehat
440,Aku berusaha mengingat-ingat cerita yang baik untuk disampaikan kepada orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
441,Aku menyukai wanita jangkung.,YA,Pernyataan adaptif / positif kepribadian sehat
442,Adakalanya aku tidak bisa tidur karena risau.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
443,"Aku mudah melepaskan sesuatu yang akan kukerjakan, karena orang lain menganggap bahwa aku tidak betul melakukannya.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
